filename,item,color
snack_red_244.jpg,snack,red
snack_red_422.jpg,snack,red
snack_red_283.jpg,snack,red
snack_green_690.jpg,snack,green
laundryDetergent_orrange_560.jpg,laundryDetergent,orrange
snack_green_723.jpg,snack,green
snack_red_725.jpg,snack,red
snack_red_776.jpg,snack,red
laundryDetergent_orrange_141.jpg,laundryDetergent,orrange
snack_red_777.jpg,snack,red
snack_red_195.jpg,snack,red
snack_green_55.jpg,snack,green
snack_green_556.jpg,snack,green
laundryDetergent_orrange_573.jpg,laundryDetergent,orrange
snack_red_359.jpg,snack,red
snack_red_269.jpg,snack,red
snack_red_608.jpg,snack,red
laundryDetergent_orrange_844.jpg,laundryDetergent,orrange
laundryDetergent_orrange_833.jpg,laundryDetergent,orrange
laundryDetergent_blue_268.jpg,laundryDetergent,blue
snack_red_40.jpg,snack,red
snack_green_84.jpg,snack,green
snack_red_759.jpg,snack,red
snack_green_819.jpg,snack,green
snack_red_951.jpg,snack,red
snack_red_134.jpg,snack,red
snack_red_160.jpg,snack,red
snack_red_679.jpg,snack,red
snack_red_309.jpg,snack,red
snack_green_275.jpg,snack,green
snack_red_563.jpg,snack,red
laundryDetergent_blue_201.jpg,laundryDetergent,blue
laundryDetergent_orrange_420.jpg,laundryDetergent,orrange
snack_green_245.jpg,snack,green
laundryDetergent_blue_165.jpg,laundryDetergent,blue
snack_green_508.jpg,snack,green
snack_red_581.jpg,snack,red
snack_green_578.jpg,snack,green
snack_red_866.jpg,snack,red
snack_green_378.jpg,snack,green
laundryDetergent_orrange_561.jpg,laundryDetergent,orrange
laundryDetergent_blue_262.jpg,laundryDetergent,blue
snack_green_239.jpg,snack,green
snack_green_708.jpg,snack,green
snack_red_662.jpg,snack,red
laundryDetergent_orrange_893.jpg,laundryDetergent,orrange
snack_red_829.jpg,snack,red
laundryDetergent_blue_468.jpg,laundryDetergent,blue
snack_red_845.jpg,snack,red
laundryDetergent_orrange_173.jpg,laundryDetergent,orrange
snack_red_382.jpg,snack,red
laundryDetergent_blue_642.jpg,laundryDetergent,blue
laundryDetergent_blue_662.jpg,laundryDetergent,blue
laundryDetergent_orrange_891.jpg,laundryDetergent,orrange
snack_red_366.jpg,snack,red
laundryDetergent_orrange_503.jpg,laundryDetergent,orrange
snack_green_565.jpg,snack,green
laundryDetergent_orrange_329.jpg,laundryDetergent,orrange
laundryDetergent_orrange_157.jpg,laundryDetergent,orrange
laundryDetergent_orrange_425.jpg,laundryDetergent,orrange
snack_green_631.jpg,snack,green
laundryDetergent_orrange_794.jpg,laundryDetergent,orrange
snack_red_106.jpg,snack,red
laundryDetergent_orrange_253.jpg,laundryDetergent,orrange
laundryDetergent_orrange_570.jpg,laundryDetergent,orrange
laundryDetergent_blue_370.jpg,laundryDetergent,blue
laundryDetergent_blue_162.jpg,laundryDetergent,blue
laundryDetergent_blue_250.jpg,laundryDetergent,blue
snack_green_266.jpg,snack,green
laundryDetergent_orrange_461.jpg,laundryDetergent,orrange
laundryDetergent_blue_638.jpg,laundryDetergent,blue
laundryDetergent_orrange_500.jpg,laundryDetergent,orrange
laundryDetergent_blue_838.jpg,laundryDetergent,blue
laundryDetergent_blue_574.jpg,laundryDetergent,blue
snack_green_284.jpg,snack,green
snack_red_92.jpg,snack,red
laundryDetergent_blue_314.jpg,laundryDetergent,blue
snack_red_304.jpg,snack,red
snack_green_572.jpg,snack,green
snack_green_25.jpg,snack,green
laundryDetergent_orrange_181.jpg,laundryDetergent,orrange
laundryDetergent_orrange_124.jpg,laundryDetergent,orrange
laundryDetergent_blue_564.jpg,laundryDetergent,blue
snack_red_117.jpg,snack,red
laundryDetergent_blue_694.jpg,laundryDetergent,blue
snack_red_154.jpg,snack,red
laundryDetergent_orrange_689.jpg,laundryDetergent,orrange
snack_red_588.jpg,snack,red
laundryDetergent_blue_70.jpg,laundryDetergent,blue
snack_red_438.jpg,snack,red
snack_green_98.jpg,snack,green
laundryDetergent_blue_379.jpg,laundryDetergent,blue
